Date,BTC_Price_USD,Block_Reward_BTC,Fees_Per_Block_BTC,Total_BTC_Per_Block,Blocks_Per_Day,Daily_BTC_Reward,Daily_USD_Reward
2020-03-14,5200.37,12.5,0.1,12.6,144,1814.4,9435544.45
2020-03-15,5392.31,12.5,0.1,12.6,144,1814.4,9783816.23
2020-03-16,5014.48,12.5,0.1,12.6,144,1814.4,9098272.48
2020-03-17,5225.63,12.5,0.1,12.6,144,1814.4,9481381.97
2020-03-18,5238.44,12.5,0.1,12.6,144,1814.4,9504622.77
2020-03-19,6191.19,12.5,0.1,12.6,144,1814.4,11233300.35
2020-03-20,6198.78,12.5,0.1,12.6,144,1814.4,11247063.38
2020-03-21,6185.07,12.5,0.1,12.6,144,1814.4,11222184.49
2020-03-22,5830.25,12.5,0.1,12.6,144,1814.4,10578414.46
2020-03-23,6416.31,12.5,0.1,12.6,144,1814.4,11641761.83
2020-03-24,6734.8,12.5,0.1,12.6,144,1814.4,12219627.85
2020-03-25,6681.06,12.5,0.1,12.6,144,1814.4,12122120.69
2020-03-26,6716.44,12.5,0.1,12.6,144,1814.4,12186309.52
2020-03-27,6469.8,12.5,0.1,12.6,144,1814.4,11738802.11
2020-03-28,6242.19,12.5,0.1,12.6,144,1814.4,11325836.52
2020-03-29,5922.04,12.5,0.1,12.6,144,1814.4,10744954.76
2020-03-30,6429.84,12.5,0.1,12.6,144,1814.4,11666304.96
2020-03-31,6438.64,12.5,0.1,12.6,144,1814.4,11682276.64
2020-04-01,6606.78,12.5,0.1,12.6,144,1814.4,11987335.04
2020-04-02,6793.62,12.5,0.1,12.6,144,1814.4,12326352.31
2020-04-03,6733.39,12.5,0.1,12.6,144,1814.4,12217057.75
2020-04-04,6867.53,12.5,0.1,12.6,144,1814.4,12460441.61
2020-04-05,6791.13,12.5,0.1,12.6,144,1814.4,12321825.17
2020-04-06,7271.78,12.5,0.1,12.6,144,1814.4,13193919.9
2020-04-07,7176.41,12.5,0.1,12.6,144,1814.4,13020886.56
2020-04-08,7334.1,12.5,0.1,12.6,144,1814.4,13306988.56
2020-04-09,7302.09,12.5,0.1,12.6,144,1814.4,13248910.93
2020-04-10,6865.49,12.5,0.1,12.6,144,1814.4,12456750.8
2020-04-11,6859.08,12.5,0.1,12.6,144,1814.4,12445120.21
2020-04-12,6971.09,12.5,0.1,12.6,144,1814.4,12648348.96
2020-04-13,6845.04,12.5,0.1,12.6,144,1814.4,12419636.22
2020-04-14,6842.43,12.5,0.1,12.6,144,1814.4,12414900.88
2020-04-15,6642.11,12.5,0.1,12.6,144,1814.4,12051444.14
2020-04-16,7116.8,12.5,0.1,12.6,144,1814.4,12912729.54
2020-04-17,7096.18,12.5,0.1,12.6,144,1814.4,12875317.28
2020-04-18,7257.67,12.5,0.1,12.6,144,1814.4,13168307.45
2020-04-19,7189.42,12.5,0.1,12.6,144,1814.4,13044492.37
2020-04-20,6881.96,12.5,0.1,12.6,144,1814.4,12486625.5
2020-04-21,6880.32,12.5,0.1,12.6,144,1814.4,12483658.49
2020-04-22,7117.21,12.5,0.1,12.6,144,1814.4,12913461.32
2020-04-23,7429.72,12.5,0.1,12.6,144,1814.4,13480492.33
2020-04-24,7550.9,12.5,0.1,12.6,144,1814.4,13700354.55
2020-04-25,7569.94,12.5,0.1,12.6,144,1814.4,13734891.94
2020-04-26,7679.87,12.5,0.1,12.6,144,1814.4,13934351.02
2020-04-27,7795.6,12.5,0.1,12.6,144,1814.4,14144338.59
2020-04-28,7807.06,12.5,0.1,12.6,144,1814.4,14165127.11
2020-04-29,8801.04,12.5,0.1,12.6,144,1814.4,15968603.5
2020-04-30,8658.55,12.5,0.1,12.6,144,1814.4,15710079.85
2020-05-01,8864.77,12.5,0.1,12.6,144,1814.4,16084232.52
2020-05-02,8988.6,12.5,0.1,12.6,144,1814.4,16308909.82
2020-05-03,8897.47,12.5,0.1,12.6,144,1814.4,16143567.3
2020-05-04,8912.65,12.5,0.1,12.6,144,1814.4,16171119.96
2020-05-05,9003.07,12.5,0.1,12.6,144,1814.4,16335170.77
2020-05-06,9268.76,12.5,0.1,12.6,144,1814.4,16817241.26
2020-05-07,9951.52,12.5,0.1,12.6,144,1814.4,18056035.27
2020-05-08,9842.67,12.5,0.1,12.6,144,1814.4,17858533.22
2020-05-09,9593.9,12.5,0.1,12.6,144,1814.4,17407165.78
2020-05-10,8756.43,12.5,0.1,12.6,144,1814.4,15887667.8
2020-05-11,8601.8,6.25,0.1,6.35,144,914.4,7865482.17
2020-05-12,8804.48,6.25,0.1,6.35,144,914.4,8050814.26
2020-05-13,9269.99,6.25,0.1,6.35,144,914.4,8476476.39
2020-05-14,9733.72,6.25,0.1,6.35,144,914.4,8900515.1
2020-05-15,9328.2,6.25,0.1,6.35,144,914.4,8529703.58
2020-05-16,9377.01,6.25,0.1,6.35,144,914.4,8574341.3
2020-05-17,9670.74,6.25,0.1,6.35,144,914.4,8842923.98
2020-05-18,9726.58,6.25,0.1,6.35,144,914.4,8893980.36
2020-05-19,9729.04,6.25,0.1,6.35,144,914.4,8896232.43
2020-05-20,9522.98,6.25,0.1,6.35,144,914.4,8707814.23
2020-05-21,9081.76,6.25,0.1,6.35,144,914.4,8304362.92
2020-05-22,9182.58,6.25,0.1,6.35,144,914.4,8396548.54
2020-05-23,9209.29,6.25,0.1,6.35,144,914.4,8420972.13
2020-05-24,8790.37,6.25,0.1,6.35,144,914.4,8037912.65
2020-05-25,8906.93,6.25,0.1,6.35,144,914.4,8144500.97
2020-05-26,8835.05,6.25,0.1,6.35,144,914.4,8078772.22
2020-05-27,9181.02,6.25,0.1,6.35,144,914.4,8395122.47
2020-05-28,9525.75,6.25,0.1,6.35,144,914.4,8710346.69
2020-05-29,9439.12,6.25,0.1,6.35,144,914.4,8631135.01
2020-05-30,9700.41,6.25,0.1,6.35,144,914.4,8870058.62
2020-05-31,9461.06,6.25,0.1,6.35,144,914.4,8651191.98
2020-06-01,10167.27,6.25,0.1,6.35,144,914.4,9296950.37
2020-06-02,9529.8,6.25,0.1,6.35,144,914.4,8714052.51
2020-06-03,9656.72,6.25,0.1,6.35,144,914.4,8830102.73
2020-06-04,9800.64,6.25,0.1,6.35,144,914.4,8961702.22
2020-06-05,9665.53,6.25,0.1,6.35,144,914.4,8838163.56
2020-06-06,9653.68,6.25,0.1,6.35,144,914.4,8827324.71
2020-06-07,9758.85,6.25,0.1,6.35,144,914.4,8923494.76
2020-06-08,9771.49,6.25,0.1,6.35,144,914.4,8935049.78
2020-06-09,9795.7,6.25,0.1,6.35,144,914.4,8957188.26
2020-06-10,9870.09,6.25,0.1,6.35,144,914.4,9025214.62
2020-06-11,9321.78,6.25,0.1,6.35,144,914.4,8523836.78
2020-06-12,9480.84,6.25,0.1,6.35,144,914.4,8669283.53
2020-06-13,9475.28,6.25,0.1,6.35,144,914.4,8664193.6
2020-06-14,9386.79,6.25,0.1,6.35,144,914.4,8583279.03
2020-06-15,9450.7,6.25,0.1,6.35,144,914.4,8641722.04
2020-06-16,9538.02,6.25,0.1,6.35,144,914.4,8721569.52
2020-06-17,9480.25,6.25,0.1,6.35,144,914.4,8668745.06
2020-06-18,9411.84,6.25,0.1,6.35,144,914.4,8606187.25
2020-06-19,9288.02,6.25,0.1,6.35,144,914.4,8492964.17
2020-06-20,9332.34,6.25,0.1,6.35,144,914.4,8533492.45
2020-06-21,9303.63,6.25,0.1,6.35,144,914.4,8507239.16
2020-06-22,9648.72,6.25,0.1,6.35,144,914.4,8822787.53
2020-06-23,9629.66,6.25,0.1,6.35,144,914.4,8805359.46
2020-06-24,9313.61,6.25,0.1,6.35,144,914.4,8516365.31
2020-06-25,9264.81,6.25,0.1,6.35,144,914.4,8471745.44
2020-06-26,9162.92,6.25,0.1,6.35,144,914.4,8378572.19
2020-06-27,9045.39,6.25,0.1,6.35,144,914.4,8271105.19
2020-06-28,9143.58,6.25,0.1,6.35,144,914.4,8360891.41
2020-06-29,9190.85,6.25,0.1,6.35,144,914.4,8404117.35
2020-06-30,9137.99,6.25,0.1,6.35,144,914.4,8355780.95
2020-07-01,9228.33,6.25,0.1,6.35,144,914.4,8438380.56
2020-07-02,9123.41,6.25,0.1,6.35,144,914.4,8342446.25
2020-07-03,9087.3,6.25,0.1,6.35,144,914.4,8309430.51
2020-07-04,9132.49,6.25,0.1,6.35,144,914.4,8350747.28
2020-07-05,9073.94,6.25,0.1,6.35,144,914.4,8297212.91
2020-07-06,9375.47,6.25,0.1,6.35,144,914.4,8572933.98
2020-07-07,9252.28,6.25,0.1,6.35,144,914.4,8460282.4
2020-07-08,9428.33,6.25,0.1,6.35,144,914.4,8621267.7
2020-07-09,9277.97,6.25,0.1,6.35,144,914.4,8483773.73
2020-07-10,9278.81,6.25,0.1,6.35,144,914.4,8484541.69
2020-07-11,9240.35,6.25,0.1,6.35,144,914.4,8449373.0
2020-07-12,9276.5,6.25,0.1,6.35,144,914.4,8482431.6
2020-07-13,9243.61,6.25,0.1,6.35,144,914.4,8452360.88
2020-07-14,9243.21,6.25,0.1,6.35,144,914.4,8451994.76
2020-07-15,9192.84,6.25,0.1,6.35,144,914.4,8405930.07
2020-07-16,9132.23,6.25,0.1,6.35,144,914.4,8350508.86
2020-07-17,9151.39,6.25,0.1,6.35,144,914.4,8368033.37
2020-07-18,9159.04,6.25,0.1,6.35,144,914.4,8375026.21
2020-07-19,9185.82,6.25,0.1,6.35,144,914.4,8399511.41
2020-07-20,9164.23,6.25,0.1,6.35,144,914.4,8379773.23
2020-07-21,9374.89,6.25,0.1,6.35,144,914.4,8572397.31
2020-07-22,9525.36,6.25,0.1,6.35,144,914.4,8709992.18
2020-07-23,9581.07,6.25,0.1,6.35,144,914.4,8760932.48
